"","askingprice","originalprice","age_05_or_less","age_06_10","age_11_15","age_16_20","age_21_25","age_26_30","age_31_35","age_36_40","age_41_50","age_51_60","age_61_70","age_71_80","age_81","age_new_under_construction","age_unknown","appearance_excellent","appearance_fair","appearance_good","appearance_needsrepair","appearance_verygood","beds","fb","hb","sqft_1000","sqft_1001_1200","sqft_1201_1400","sqft_1401_1600","sqft_1601_1800","sqft_1801_2000","sqft_2001_2200","sqft_2201_2500","sqft_2501_2750","sqft_2751_3000","sqft_3001_3300","sqft_3301_3750","sqft_3751_4250","sqft_4251_5000","sqft_5001_5500","sqft_5501_6000","sqft_6000","sqft_midpoint","sqft_category","lotsize_use","soldprice","year_sold","month_sold","offenders_near_house","tract","daysonmarket","tract_212270101","tract_212270102","tract_212270103","tract_212270104","tract_212270105","tract_212270106","tract_212270107","tract_212270108","tract_212270109","tract_212270110","tract_212270111","tract_212270112","tract_212270113","tract_212270114","tract_212270115","tract_212270116","tract_212270117","tract_212270118","tract_212270119"
"1",115000,115000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,"-1000",0.11,108000,2018,11,1,"212270113","161",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2",59900,59900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,"-1000",0.21,56500,2014,9,11,"212270103","143",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",173800,5050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2625,"2501-3000",6.43,173800,2021,8,5,"212270112","42",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4",59000,69000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,"1001-1400",0.23,45000,2017,9,10,"212270102","206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",115000,115000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,"1001-1400",0,115000,2018,8,8,"212270110","40",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6",199900,209900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1700,"1401-1800",0.21,194000,2018,1,0,"212270108","196",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7",125000,144500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,"1001-1400",0.22,123500,2017,11,5,"212270110","124",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",139900,146400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.45,139000,2018,9,0,"212270111","59",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,"-1000",0.12,12000,2017,7,13,"212270103","21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",142000,142000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1900,"1801-2500",0.41,142000,2017,2,7,"212270109","10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
