"","house","offender","lat","Photo.Date","off_market_date"
"1",1,1,0.61295554398714,2022-09-19,2017-02-16
"2",1,25,0.14844869313506,2022-07-18,2017-02-16
"3",1,27,0.255949063172451,2014-06-28,2017-02-16
"4",3,77,0.861141632603607,2022-07-13,2019-05-20
"5",4,1,0.308010096845019,2022-09-19,2019-04-24
"6",4,25,0.611223608586045,2022-07-18,2019-04-24
"7",4,27,0.974118026454705,2014-06-28,2019-04-24
"8",4,67,0.940370580055221,2022-08-19,2019-04-24
"9",6,15,0.470560512158309,2022-07-13,2020-12-18
"10",6,33,0.540794280272864,2022-07-21,2020-12-18
"11",6,42,0.884531174139824,2022-07-28,2020-12-18
"12",6,62,0.807122200810472,2022-07-28,2020-12-18
"13",6,90,0.322491333942553,2022-03-09,2020-12-18
"14",8,15,0.10030063802801,2022-07-13,2019-11-26
"15",8,33,0.0980135184636508,2022-07-21,2019-11-26
"16",8,35,0.82193122705393,2022-07-21,2019-11-26
"17",8,83,0.785177579819701,2019-07-29,2019-11-26
"18",8,89,0.995440973089695,2022-08-05,2019-11-26
"19",8,90,0.15026260415438,2022-03-09,2019-11-26
"20",9,93,0.70097553369073,2022-10-03,2017-01-05
"21",10,7,0.929171401879126,2022-09-21,2020-10-16
"22",10,8,0.41064161501869,2022-08-18,2020-10-16
"23",10,22,0.106444484314409,2021-03-02,2020-10-16
"24",10,39,0.245525847198652,2022-07-21,2020-10-16
"25",10,40,0.504774767891674,2022-09-23,2020-10-16
"26",10,47,0.801789991534716,2022-08-05,2020-10-16
"27",10,48,0.880554229957987,2022-07-13,2020-10-16
"28",10,58,0.407767652947367,2020-05-13,2020-10-16
"29",10,63,0.436567444475204,2021-04-21,2020-10-16
"30",10,66,0.279410667443683,2022-07-19,2020-10-16
"31",10,74,0.582625876809683,2022-07-26,2020-10-16
"32",11,38,0.709430059765016,2022-08-02,2020-07-13
"33",11,84,0.470592846240322,2021-07-07,2020-07-13
"34",11,86,0.478054072881104,2021-07-07,2020-07-13
"35",11,87,0.724437165602091,2021-07-07,2020-07-13
"36",11,88,0.820130689726116,2019-11-21,2020-07-13
"37",11,95,0.660365947067279,2022-07-26,2020-07-13
"38",12,37,0.967540817499506,2022-07-14,2018-03-29
"39",14,37,0.46063695990356,2022-07-14,2018-12-31
"40",15,15,0.549151545229507,2022-07-13,2021-06-04
"41",15,33,0.505837464011714,2022-07-21,2021-06-04
"42",15,35,0.983937406819886,2022-07-21,2021-06-04
"43",15,83,0.943074999745077,2019-07-29,2021-06-04
"44",15,90,0.752600190241215,2022-03-09,2021-06-04
"45",18,87,0.81666243817964,2021-07-07,2019-10-23
"46",19,8,0.768891590893745,2022-08-18,2018-01-01
"47",19,12,0.383019658776898,2022-02-11,2018-01-01
"48",19,23,0.549419491136938,2021-03-02,2018-01-01
"49",19,31,0.382358920991456,2020-08-18,2018-01-01
"50",19,40,0.936181106202573,2022-09-23,2018-01-01
"51",19,48,0.8072079610968,2022-07-13,2018-01-01
"52",19,68,0.78858319250577,2013-03-28,2018-01-01
"53",19,74,0.994411158494081,2022-07-26,2018-01-01
"54",20,37,0.790723774289939,2022-07-14,2018-08-25
"55",21,1,0.180060333464883,2022-09-19,2019-08-14
"56",21,25,0.36361986969084,2022-07-18,2019-08-14
"57",21,27,0.706686066267439,2014-06-28,2019-08-14
"58",21,67,0.940268106995032,2022-08-19,2019-08-14
"59",25,7,0.391328358519584,2022-09-21,2017-11-27
"60",25,14,0.621788357794212,2022-09-02,2017-11-27
"61",25,47,0.766619584692296,2022-08-05,2017-11-27
"62",25,52,0.80536018362278,2020-11-06,2017-11-27
"63",25,56,0.258438616022097,2017-10-25,2017-11-27
"64",25,77,0.979560818751953,2022-07-13,2017-11-27
